Timestamp;Country;Gender;Age;Group;HighSchool;MonthsAbroad;MusicStreamingService;MinutesStreamMusic;VideoStreamingService;MinutesStreamVideo;PayVideo;PayMusic
02/10/2018 20:25;Italy;Male;21;A;Private;6;Apple Music;120;None of them;0;Yes;No
02/10/2018 20:27;Denmark;Female;22;A;Public School;6;Spotify;180;Netflix;60;Yes;Yes
02/10/2018 20:33;Denmark;Female;22;A;Public School;6;Spotify;180;Netflix;60;Yes;Yes
02/10/2018 20:35;Germany;Male;28;A;Public School;18;None of them;0;Amazon Prime;60;No;Yes
02/10/2018 22:50;Spain;Male;22;A;Public School;0;Spotify;60;YouTube;60;No;No
02/10/2018 22:55;Spain;Female;17;A;Partially State-funded School;0;Spotify;20;Netflix;120;Yes;No
02/10/2018 22:57;Spain;Female;22;A;Public School;0;None of them;60;Netflix;60;Yes;No
02/10/2018 23:35;United States of America;Male;27;A;Public School;3;Spotify;60;Netflix;90;Yes;Yes
03/10/2018 0:53;Spain;Male;22;A;Public School;0;Spotify;180;None of them;0;No;No
03/10/2018 10:30;Spain;Female;60;A;Private;0;None of them;0;HBO;30;No;No
03/10/2018 11:35;Spain;Female;57;A;Private;0;None of them;0;Netflix;30;No;No
03/10/2018 13:01;Spain;Male;26;A;Private;2;None of them;0;Netflix;120;No;No
03/10/2018 13:23;Spain;Male;20;A;Public School;0;Spotify;120;Netflix;60;No;No
03/10/2018 21:54;Spain;Male;23;A;Private;9;Spotify;30;Netflix;45;Yes;No
03/10/2018 22:26;Spain;Female;23;A;Partially State-funded School;3;None of them;0;Netflix;60;No;No
03/10/2018 22:31;Spain;Male;51;A;Public School;0;Spotify;30;Netflix;15;Yes;Yes
03/10/2018 22:35;Peru;Female;25;B;Private;0;Spotify;45;Netflix;30;Yes;No
03/10/2018 22:37;Spain;Male;22;A;Private;0;None of them;0;YouTube;10;No;No
03/10/2018 22:59;Spain;Male;23;A;Public School;0;Spotify;5;None of them;0;No;No
